,step,n_samples,jitter,eps,min_pts,DBSCAN
177,7,1000,0.15,0.4,31,-0.0016939024146372067
178,8,1000,0.15,0.4,31,-0.0007748282749722725
179,9,1000,0.15,0.4,31,-0.0016939024146372067
180,0,1000,0.15,0.30000000000000004,18,-0.0012774079551192568
181,1,1000,0.15,0.30000000000000004,18,-0.001287374676684642
182,2,1000,0.15,0.30000000000000004,18,-0.001464422149993974
183,3,1000,0.15,0.30000000000000004,18,0.8697609709982006
184,4,1000,0.15,0.30000000000000004,18,0.853100861739956
185,5,1000,0.15,0.30000000000000004,18,-0.001268146220545197
186,6,1000,0.15,0.30000000000000004,18,0.002158644341580173
187,7,1000,0.15,0.30000000000000004,18,-9.648603609698985e-06
188,8,1000,0.15,0.30000000000000004,18,0.003129499192299339
189,9,1000,0.15,0.30000000000000004,18,-0.0008737255753407442
190,0,1000,0.15,0.4,36,-0.0007748282749722725
191,1,1000,0.15,0.4,36,-0.0015424734258113015
192,2,1000,0.15,0.4,36,0.8316692751273044
193,3,1000,0.15,0.4,36,-0.0006043380522997003
194,4,1000,0.15,0.4,36,0.8359714623470017
195,5,1000,0.15,0.4,36,0.0017672193549157166
196,6,1000,0.15,0.4,36,0.003916727758936845
197,7,1000,0.15,0.4,36,-0.0016939024146372067
198,8,1000,0.15,0.4,36,-0.0001502700390549709
199,9,1000,0.15,0.4,36,-0.001464422149993974
200,0,1000,0.15,0.2,13,0.7431069549038428
201,1,1000,0.15,0.2,13,0.6252253841161662
202,2,1000,0.15,0.2,13,0.7362010796449121
203,3,1000,0.15,0.2,13,0.7389170807409109
204,4,1000,0.15,0.2,13,0.7886253771400621
205,5,1000,0.15,0.2,13,0.7573579162737237
206,6,1000,0.15,0.2,13,0.7601046627254242
207,7,1000,0.15,0.2,13,0.7549196341097926
208,8,1000,0.15,0.2,13,0.6985617634801243
209,9,1000,0.15,0.2,13,0.7489581345416948
210,0,1000,0.15,0.30000000000000004,28,0.7857337655972908
211,1,1000,0.15,0.30000000000000004,28,0.8032059797198138
212,2,1000,0.15,0.30000000000000004,28,0.8291128836799276
213,3,1000,0.15,0.30000000000000004,28,0.8244153472463572
214,4,1000,0.15,0.30000000000000004,28,0.8170161091085743
215,5,1000,0.15,0.30000000000000004,28,0.7739822049099448
216,6,1000,0.15,0.30000000000000004,28,0.830751554129678
217,7,1000,0.15,0.30000000000000004,28,0.8341776529101093
218,8,1000,0.15,0.30000000000000004,28,0.7830539153351951
219,9,1000,0.15,0.30000000000000004,28,0.8272922787815403
220,0,1000,0.15,0.5,27,0.0
221,1,1000,0.15,0.5,27,-0.0019639383428045358
222,2,1000,0.15,0.5,27,0.0
223,3,1000,0.15,0.5,27,7.672985006701068e-15
224,4,1000,0.15,0.5,27,7.672985006701068e-15
225,5,1000,0.15,0.5,27,0.0
226,6,1000,0.15,0.5,27,7.672985006701068e-15
227,7,1000,0.15,0.5,27,0.0
228,8,1000,0.15,0.5,27,7.672985006701068e-15
229,9,1000,0.15,0.5,27,0.0
230,0,1000,0.15,0.2,40,0.0
231,1,1000,0.15,0.2,40,0.0
232,2,1000,0.15,0.2,40,0.0
233,3,1000,0.15,0.2,40,0.0
234,4,1000,0.15,0.2,40,0.0
235,5,1000,0.15,0.2,40,0.0
236,6,1000,0.15,0.2,40,0.0
237,7,1000,0.15,0.2,40,0.0
238,8,1000,0.15,0.2,40,0.0
239,9,1000,0.15,0.2,40,0.0
240,0,1000,0.15,0.2,49,0.0
241,1,1000,0.15,0.2,49,0.0
242,2,1000,0.15,0.2,49,0.0
243,3,1000,0.15,0.2,49,0.0
244,4,1000,0.15,0.2,49,0.0
245,5,1000,0.15,0.2,49,0.0
246,6,1000,0.15,0.2,49,0.0
247,7,1000,0.15,0.2,49,0.0
